iter	Passed	Remaining
406	36992	53897
407	37066	53783
408	37181	53726
409	37302	53679
410	37402	53601
411	37476	53485
412	37554	53376
413	37624	53255
414	37699	53143
415	37787	53047
416	37877	52955
417	37957	52849
418	38056	52770
419	38143	52674
420	38250	52605
421	38321	52487
422	38412	52397
423	38475	52268
424	38575	52190
425	38672	52108
426	38760	52013
427	38852	51924
428	38950	51842
429	39050	51764
430	39133	51662
431	39253	51610
432	39347	51524
433	39453	51452
434	39542	51359
435	39630	51265
436	39694	51139
437	39802	51070
438	39894	50981
439	39999	50908
440	40072	50795
441	40160	50700
442	40269	50631
443	40342	50519
444	40417	50408
445	40497	50304
446	40605	50234
447	40679	50122
448	40755	50013
449	40861	49941
450	40940	49836
451	41012	49723
452	41109	49639
453	41189	49536
454	41266	49429
455	41352	49333
456	41439	49237
457	41537	49155
458	41614	49049
459	41699	48951
460	41776	48844
461	41865	48752
462	41960	48666
463	42061	48588
464	42166	48514
465	42240	48403
466	42332	48315
467	42420	48222
468	42503	48122
469	42584	48020
470	42659	47912
471	42744	47815
472	42819	47708
473	42932	47641
474	43031	47561
475	43133	47483
476	43229	47398
477	43324	47312
478	43404	47210
479	43474	47097
480	43566	47007
481	43675	46937
482	43786	46868
483	43866	46766
484	43971	46691
485	44033	46570
486	44114	46470
487	44193	46366
488	44282	46274
489	44338	46148
490	44405	46033
491	44476	45922
492	44511	45775
493	44551	45633
494	44598	45499
495	44639	45359
496	44690	45229
497	44750	45109
498	44793	44973
499	44828	44828
500	44871	44692
501	44915	44557
502	44962	44426
503	44995	44281
504	45028	44137
505	45063	43995
506	45096	43851
507	45127	43705
508	45161	43564
509	45199	43426
510	45235	43287
511	45271	43149
512	45312	43015
513	45342	42872
514	45375	42732
515	45401	42586
516	45432	42444
517	45465	42306
518	45506	42174
519	45540	42037
520	45575	41901
521	45606	41762
522	45637	41623
523	45665	41482
524	45699	41346
525	45733	41212
526	45767	41078
527	45801	40943
528	45839	40813
529	45868	40675
530	45899	40540
531	45933	40407
532	45973	40280
533	46002	40144
534	46028	40005
535	46057	39870
536	46085	39734
537	46118	39603
538	46147	39469
539	46190	39347
540	46223	39217
541	46251	39083
542	46275	38946
543	46303	38813
544	46328	38678
545	46353	38543
546	46378	38408
547	46403	38274
548	46430	38142
549	46454	38008
550	46483	37878
551	46507	37745
552	46530	37611
553	46551	37476
554	46574	37343
555	46601	37214
556	46627	37084
557	46650	36952
558	46671	36819
559	46692	36686
560	46715	36556
561	46743	36429
562	46767	36300
563	46793	36173
564	46817	36045
565	46843	35918
566	46865	35789
567	46887	35661
568	4691568	4694569	4693569	4696570	46959	35281
571	46985	35157
572	4701572	4704573	4703573	4706574	47058	34782
575	4708575	4711576	47103	34531
577	4712577	4716578	4714578	4718579	4717579	4721580	4719580	4723581	4722581	4725582	47250	33796
583	4727583	4731584	4729584	4733585	4732585	4736586	47353	33316
587	4738587	4741588	47404	33078
589	4742589	4746590	4744590	4748591	4747591	4751592	4749592	4753593	4751593	4755594	4754594	4758595	4756595	4761596	4759596	4763597	4762597	4765598	4764598	4768599	4766599	4770600	4768600	4773601	4771601	4775602	4774602	4778603	4776603	4780604	4779604	4783605	47821	31091
606	47846	30978
607	4787607	4790608	47900	30754
609	47928	30642
610	47956	30532
611	47984	30421
612	4800612	4804613	48035	30198
614	4805614	4809615	4808615	4812616	4811616	4815617	4813617	4818618	4816618	4821619	4818619	4823620	4821620	4826621	4824621	4829622	4827622	4832623	4830623	4835624	4832624	4838625	4835625	4840626	4837626	4842627	4840627	4845628	4842628	4848629	4845629	48514	28492
630	48535	28383
631	48561	28276
632	4858633	4855633	4860634	4857634	4862635	4858635	4864636	4860636	4866637	4862637	4867638	4864638	4869639	4866639	4871640	4868640	4873641	4870641	4875642	4872642	4877643	4874643	4879644	4876644	48816	26868
645	48836	26761
646	48849	26651
647	4886648	4882648	4887649	4883649	4888650	4885650	4889651	4886651	4890652	48872	25970
653	48980	25913
654	49067	25844
655	49143	25770
656	49251	25712
657	49347	25648
658	49452	25589
659	49528	25514
660	49628	25452
661	49714	25382
662	49809	25317
663	49917	25259
664	50010	25193
665	50091	25120
666	50161	25043
667	50264	24981
668	50354	24913
669	50444	24846
670	50532	24776
671	50625	24710
672	50710	24639
673	50791	24566
674	50873	24494
675	50969	24428
676	51067	24364
677	51177	24305
678	51318	24260
679	51405	24190
680	51485	24117
681	51576	24048
682	51666	23979
683	51740	23903
684	51838	23838
685	51929	23769
686	52008	23695
687	52091	23622
688	52177	23551
689	52287	23491
690	52387	23426
691	52501	23367
692	52612	23307
693	52739	23253
694	52832	23185
695	52936	23121
696	53024	23050
697	53101	22974
698	53188	22903
699	53296	22841
700	53404	22778
701	53533	22725
702	53660	22670
703	53741	22595
704	53807	22515
705	53929	22458
706	54019	22387
707	54151	22333
708	54255	22268
709	54403	22220
710	54544	22170
711	54667	22112
712	54756	22040
713	54840	21966
714	54920	21891
715	55011	21820
716	55090	21744
717	55191	21677
718	55302	21613
719	55401	21544
720	55466	21463
721	55557	21391
722	55658	21324
723	55752	21253
724	55836	21179
725	55971	21124
726	56029	21039
727	56113	20965
728	56204	20893
729	56308	20826
730	56398	20754
731	5749	53237	1732	5750	53326	1733	5751	53397	1734	56767	20467
735	56896	20408
736	57041	20355
737	5755	53942	1738	5756	54102	1739	5757	54183	1740	57623	20140
741	57799	20097
742	57888	20023
743	5761	54664	1744	5762	54778	17015
763	54920	16965
764	55076	16918
765	55225	16870
766	55340	16811
767	55438	16747
768	55524	1751	5769	55593	1752	5770	55674	1753	5771	55760	1754	5772	55835	1755	5773	55891	1756	5774	55938	1757	5775	55993	1758	59367	18850
759	59442	18771
760	59522	18693
761	5779	56292	1762	5780	56378	1763	5781	56456	15738
782	56547	15671
783	56606	1766	5784	56692	15527
785	56770	15456
786	56834	15382
787	56893	15306
788	56969	15235
789	57031	15160
790	57090	15084
791	57153	15010
792	57244	14942
793	57334	14875
794	57410	14803
795	57487	14732
796	57566	14662
797	57634	14589
798	57738	14524
799	57814	14453
800	57885	14381
801	57964	14310
802	58045	14240
803	58114	14167
804	58180	14093
805	58241	14018
806	58320	13947
807	58385	13873
808	58450	13799
809	58537	13730
810	58604	13657
811	58675	13585
812	58763	13516
813	58836	13444
814	58896	13369
815	58967	13296
816	59038	13224
817	59109	13151
818	59174	13077
819	59239	13003
820	59315	12932
821	59404	12863
822	59475	12791
823	59550	12719
824	59636	12650
825	59713	12578
826	59786	12506
827	59861	12434
828	59922	12360
829	59999	12289
830	60070	12216
831	60160	12147
832	60237	12076
833	60319	12006
834	60402	11935
835	60463	11861
836	60534	11788
837	60611	11717
838	60673	11642
839	60748	11571
840	60818	11498
841	60882	11424
842	60954	11352
843	61011	11276
844	61077	11203
845	61144	11130
846	61229	11060
847	61310	10989
848	61511	10940
849	61643	10878
850	61672	1833	6851	61699	1834	65085	12861
835	65188	12788
836	65295	12715
837	65426	12648
838	65527	12574
839	65645	12503
840	65723	12425
841	65816	12350
842	65909	12275
843	66013	12201
844	66119	12128
845	66249	12059
846	66394	11993
847	66514	11922
848	66593	11844
849	66673	117658850	66784	116986851	66882	116870852	67000	11871	853	67079	1872	6854	67192	873	63855	67287874	640856	6739875	6417857	675876	64258858	67877	64367	859	6878	64487	8860	879	64593	88861	67997	10885
862	68119	10813
863	68195	107348864	68310	106688865	68397	105885866	68493	10886	867	68593	1887	6868	68679	10353
869	68770	10276
870	68856	10197
871	689891	65791872	68892	65920	873	6893	66047	874	6894	66140	875	6895	66223	876	6896	66315	877	6897	66417	878	6898	66548	879	6899	66673	880	6900	66777	7337
901	66881	7266
902	66964	7193
903	67055	7120
904	67134	7047
905	67215	6973
906	67300	6900
907	67391	6828
908	67477	6755
909	67553	6681
910	67655	6609
911	67731	6535
912	67814	6462
913	67879	6386
914	67975	6314
915	68039	6239
916	68127	6166
917	68207	6092
918	68287	6018
919	68372	5945
920	68455	5871
921	68534	5797
922	68627	5725
923	68694	5650
924	68781	5576
925	68887	5505
926	68976	907	7927	69062	908	7928	69128	909	7929	69224	910	7930	69311	911	7931	69380	912	7932	69475	913	7933	69584	914	7934	69656	915	7935	69769	916	7936	69859	917	7937	69935	918	7938	70013	919	7939	70107	920	7940	70160	921	7941	70253	922	7942	70328	923	7943	70409	924	7944	70513	925	7945	70589	926	7946	70681	927	7947	70769	928	7948	70872	929	7949	70967	930	74184	5498
931	74262	5418
932	74349	5339
933	74453	5261
934	74525	5180
935	74618	5102
936	74684	5021
937	74784	4943
938	74881	4864
939	74985	4786
940	75097	4708
941	75170	4628
942	75274	4550
943	75376	4471
944	75456	4391
945	75559	4313
946	75653	4234
947	75756	4155
948	75878	4077
949	75968	3998
950	76059	3918
951	76135	3838
952	76239	3759
953	76309	3679
954	76383	3599
955	76473	3519
956	76558	3439
957	76635	3359
958	76727	3280
959	76813	3200
960	76880	3120
961	76941	3039
962	77003	2958
963	77064	2877
964	77169	2798
965	77257	2719
966	77346	2639
967	77435	2559
968	77538	2480
969	77640	2401
970	77722	2321
971	77829	2241
972	77921	2162
973	77997	2082
974	78074	2001
975	78157	1921
976	78234	1841
977	78271	1760
978	78403	1681
979	78478	1601
980	78532	1521
981	78576	1440
982	78630	1359
983	78662	1279
984	78689	1198
985	78707	1117
986	78733	1037
987	78751	956
988	78767	876
989	78778	795
990	78795	715
991	78807	635
992	78817	555
993	78828	475
994	78838	396
995	78847	316
996	78856	237
997	78865	158
998	78873	78
999	78882	0

999	78772	0
