iter	Logloss
0	0.6535673286
1	0.6192027564
2	0.588618832833	0.559184873844	0.532174801155	0.507368031366	0.484741271577	0.462625020288	0.44412825829	0.4273942004
110	0.4101614749111	0.3945143331112	0.3798887941313	0.3664853311414	0.353561652115	0.342507452616	0.3347874555
17	0.3250066957
118	0.3124193488119	0.3047528812020	0.29713104421	0.2929024225
22	0.2860213986
223	0.2792551419224	0.273588874625	0.2690773148
26	0.2632946786
27	0.2587940078
28	0.2540721095
29	0.2504283864
30	0.2459719854
31	0.2417448684
32	0.2381628236
333	0.2342569386334	0.231344407635	0.2295009957
336	0.2257399907337	0.2231852989338	0.2205569546339	0.2183900771440	0.215864445941	0.2154163911442	0.2135105629443	0.211814784
44	0.2099980736
45	0.2084524547446	0.2069324438447	0.2051815777448	0.2035387638449	0.2023274050	50	0.2005600151	51	0.1993518252	52	0.1981597153	0.196903602
54	0.1954870658
55	0.1941224274
56	056	0.193714357	057	0.192969358	058	0.192051259	059	0.191071760	0.1895854137
61	0.1888691307
62	062	0.188313963	063	0.187131864	064	0.186148765	0.1862428452
66	066	0.184756667	0.1847784807
68	68	0.183962969	0669	0.18262170	0770	0.18211371	71	0.181762172	072	0.181081873	073	0.1802549674	74	0.1797710175	75	0.1793111876	776	0.17885277	077	0.178337778	078	0.177707579	079	0.177335580	080	0.176550081	081	0.176396482	082	0.175935883	083	0.175531784	084	0.175105385	085	0.174635086	086	0.17396687	0.87	0.17349188	0.88	0.17298689	0.89	0.17256090	0.90	0.1719046417
91	0.17152292	0.92	0.17099693	0.93	0.17056394	094	0.170290195	095	0.169991996	096	0.16962797	0.97	0.16926798	0.98	0.16881199	0.99	0.168294100	0100	0.16101101	0.101	0.16102	0.165102	0.1103	0.1654103	0.1104	0.1651104	0.1105	0.1647105	0.1660106	0.1106	0.1107107	0.1107	0.1108108	0.1108	0.1652109	0.1109	0.16474770641110	0.1111	0.1621111	0.1112	0.1621112	0.1113	0.1624113	0.1114	0.1622114	0.1115	0.161842884
116	0.1614813574
117	0.1611807014
118	0.1609049677
119	0.1606799446
120	0.1600400009
121	0.1598178533
122	0.1595775535
123	0.1593301174
124	0.1590816388
125	0.1587784199
126	0.1584756472
127	0.1582583816
128	0.158128	0.15129	0.151129	0.15130	0.151130	0.15131	0.151131	0.15132	0.151132	0.15133	0.151133	0.15134	0.151134	0.15135	0.151135	0.136	0.15601136	0.137	0.15573137	0.138	0.15551138	0.139	0.1551139	0.1140	0.1541140	0.141	0.15471141	0.142	0.15451142	0.143	0.15421143	0.144	0.15401144	0.145	0.1537145	0.1146	0.15341146	0.147	0.15311147	0.148	0.15291148	0149	0.15268149	0.150	0.15245150	0.151	0.15221151	0.1526648959
152	0.1524628291
153	0.1521997541
154	0.155	0.15100155	0.156	0.15074156	0.157	0.15041157	0.158	0.15018158	0.159	0.1499159	0.1160	0.1498160	0.1161	0.1496161	0.1162	0.1493162	0.1163	0.1491163	0.1164	0.1489164	0.1165	0.148708946
166	0.1484489159
167	0.1482353741
168	0.1479909683
169	0.1477345966
170	0.147499028
171	0.1472013804
172	0.147023829
173	0.146815897
174	0.1466588306
175	0.1464336443
176	0.1462080993
177	0.1459961757
178	0.1458096797
179	0.1456659234
180	0.1454608153
181	0.1452066931
182	0.1449758468
183	0.14481202
184	0.1445928064
185	0.1443847512
186	0.1441680323
187	0.1439474987
188	0.1436277383
189	0.1433568844
190	0.1431310261
191	0.1430058338
192	0.1427672755
193	0.142485748
194	0.142354645
195	0.1420518861
196	0.1418581849
197	0.1416891236
198	0.1414969647
199	0.1413014952
200	0.141107617
201	0.1409112827
202	0.1406907836
203	0.1405149054
204	0.1403473692
205	0.1401339996
206	0.1399260869
207	0.1397953605
208	0.1396082255
209	0.1394565989
210	0.1392559974
211	0.139095442
212	0.1389342449
213	0.1387525744
214	0.1384738227
215	0.1382738182
216	0.1380796715
217	0.1379341725
218	0.1377399541
219	0.1374865687
220	0.1372717482
221	0.1370577148
222	0.1368524951
223	0.1366912752
224	0.1364324859
225	0.1361408075
226	0.1359368348
227	0.1357945735
228	0.1356287788
229	0.1354121253
230	0.1351719357
231	0.1350149974
232	0.1348206441
233	0.1346058126
234	0.1344156754
235	0.1342808235	236	0.1341295236	0.1348503016
237	0.13469508
238	0.1344941694
239	0.134385277
240	0.1342353876
241	0.1340880005
242	0.1339640993
243	0.1337982074
244	0.1336452374
245	0.1334945217
246	0.1333016358
247	0.1331309563
248	0.1328890308
249	0.1327636306
250	0.1326376368
251	0.1324958781
252	0.1323704489
253	0.1321526889
254	0.1319397524
255	0.1318102103
256	0.1316623054
257	0.131574389
258	0.1314351801
259	0.1312366258
260	0.1310678317
261	0.1308983951
262	0.1307422156
263	0.1305995865
264	0.1303681997
265	0.1302430026
266	0.1300307284
267	0.1298653826
268	0.1296500939
269	0.129483194
270	0.1292803596
271	0.1291333691
272	0.1290266326
273	0.1288624443
274	0.1287555743
275	0.1286198103
276	0.1284550718
277	0.1283529206
278	0.12822818072279	0.12807061992280	0.127926109
281	0.127730855
282	0.1275282168
283	0.1274184155
284	0.127301203
285	0.1270690333
286	0.1269698222
287	0.1268509951
288	0.1267593322
289	0.1265836826
290	0.126443195
291	0.1262341317
292	0.1260974932
293	0.1259115157
294	0.1257330464
295	0.1255737133
296	0.1254509971
297	0.125246563
298	0.1251286586
299	0.1250341002
300	0.1248970431
301	0.1246800853
302	0.1245541714
303	0.1243542916
304	0.1241385236
305	0.1239421597
306	0.1237602509
307	0.1235406531
308	0.1234528483
309	0.1232163144
310	0.1230766469
311	0.1229325663
312	0313	0.121357313	0314	0.121200314	0315	0.121061315	0316	0.12094631317	0.12077564031318	0.12064638631319	0.12055065631320	0.12038175532321	0.12022451532322	0.12008193732323	0.11993016832324	0.11978025932325	0.11961380832326	0.1194897183327	0.11935656993328	0.11925724183329	0.11909096783330	0.1189484428
331	0.1188197284
332	0.11864726283333	0.1184927407
334	0.1183347922
335	0.1181978632
336	0.1180647654
337	0.1179052346
338	0.1177743891
339	0.1176603379
340	0.1175361606
341	0.117417339
342	0.1172638415
343	0.1170945708
344	0.116966019
345	0.1167437557
346	0.1164992859
347	0.1162962779
348	0.1161645449
349	0.1159977682
350	0.1158575753
351	0.1157351842
352	0.115569125
